cart.remove.items.success,"Продукти було успішно видалено",uk_UA
cart.add.items.success,"Елементи успішно додані",uk_UA
cart.add.items.error.text,"Щось пішло не так. Вибачте.",uk_UA
cart.your-order,"Ваше замовлення",uk_UA
cart.price,Ціна,uk_UA
cart.shipping.order-item,Доставка,uk_UA
cart.shipping,Доставка,uk_UA
cart.total,Загалом,uk_UA
cart.checkout,"Оформлення замовлення",uk_UA
cart.empty,"Ваш кошик покупок порожній!",uk_UA
cart.cart,Кошик,uk_UA
cart.total.discount,Знижка,uk_UA
cart.vouchers,"Подарункові сертифікати",uk_UA
cart.discounts,Знижки,uk_UA
cart.item_quantity,Кількість,uk_UA
cart.item_attributes_needed,"Будь ласка, виберіть більше атрибутів",uk_UA
cart.voucher.redeem,"Активувати код",uk_UA
cart.price.subtotal,"Сума замовлення",uk_UA
cart.price.grand.total,"Загальна сума",uk_UA
cart.total.tax_total,Податок,uk_UA
cart.total.tax_total.calculated_at_checkout,"обчислюється при оформленні замовлення",uk_UA
cart.delete.item,Видалити,uk_UA
cart.sales-order-threshold,"Мінімальна вартість замовлення",uk_UA
cart.title.available_discounts,"Доступні знижки",uk_UA
checkout.sales-order-threshold,"Мінімальна вартість замовлення",uk_UA
sales-order-threshold.expense.name,Доплата,uk_UA
sales-order-threshold.strategy.soft-minimum-threshold-fixed-fee,Доплата,uk_UA
sales-order-threshold.strategy.soft-minimum-threshold-flexible-fee,Доплата,uk_UA
auth.login,Зареєструватися,uk_UA
auth.password,Пароль,uk_UA
auth.password-forgot,"Забули пароль?",uk_UA
auth.email,"Електронна пошта",uk_UA
auth.register,Реєстрація,uk_UA
auth.im-new-customer,"Новий клієнт",uk_UA
auth.im-already-customer,"У мене вже є обліковий запис",uk_UA
navigation.menu.categories,Категорії,uk_UA
navigation.menu.have-a-look,"Варто подивитися",uk_UA
page.checkout.errors,"Будь ласка, перевірте ваш ввід.",uk_UA
page.checkout.client.existing,"Існуючий клієнт",uk_UA
page.checkout.client.new,"Новий клієнт",uk_UA
customer.password,Пароль,uk_UA
password.confirm,"Підтвердити пароль",uk_UA
page.checkout.address.heading,"1. Дані адреси",uk_UA
page.checkout.address.name,Ім'я,uk_UA
page.checkout.address.billing-address,"Адреса платника",uk_UA
page.checkout.address.billing-isnt-shipping-address,"Інша адреса доставки",uk_UA
page.checkout.address.shipping-address,"Адреса доставки",uk_UA
page.checkout.address.address-example,"Приклад:</br>Вейн Менор 1</br>10292 Готем-сіті</br>з.н. Альфред Пенніворт",uk_UA
page.checkout.address.next-step,"Продовжити до методу доставки",uk_UA
page.checkout.address.edit,"Редагувати дані адреси",uk_UA
page.checkout.address.use_selected_address,"Використовувати обрану адресу",uk_UA
page.checkout.address.different_delivery_address,"Використовуйте іншу адресу доставки",uk_UA
page.checkout.address.different_billing_address,"Використовувати іншу адресу для виставлення рахунку",uk_UA
page.checkout.address.option_group.customer,"Адреси клієнтів",uk_UA
page.checkout.address.option_group.company_business_unit,"Адреси бізнесу",uk_UA
page.checkout.address.delivery.address_select,"Виберіть адресу доставки",uk_UA
page.checkout.address.multi_shipment.title,"Призначте кожен товар окремій адресі доставки",uk_UA
page.checkout.address.billing.address_select,"Виберіть адресу для виставлення рахунку",uk_UA
page.checkout.address.manage_your_addresses,"Керуйте своїми адресами",uk_UA
page.checkout.address.address_select.label,"Виберіть адресу доставки",uk_UA
page.checkout.address.address_select.placeholder,"Виберіть адресу",uk_UA
page.checkout.shipment.heading,"2. Спосіб доставки",uk_UA
page.checkout.shipment.shipping_method_heading,"Спосіб доставки",uk_UA
page.checkout.shipment.shipment_group_heading,"Відправлення %current% з %total%",uk_UA
shipment.standart.name,Стандартний,uk_UA
shipment.express.name,Експрес,uk_UA
shipment.standart.description,"2-4 робочих дні\n",uk_UA
page.checkout.shipping.delivery_time,"Час доставки:",uk_UA
page.checkout.shipping.day,день,uk_UA
page.checkout.shipping.days,дні,uk_UA
page.checkout.shipping.price,Ціна:,uk_UA
shipment.express.description,"24-48 години (робочі дні)",uk_UA
page.checkout.shipment.edit,"Редагувати спосіб доставки",uk_UA
page.checkout.shipment.next-step,"Продовжити до способу оплати",uk_UA
page.checkout.shipment.item.quantity,Кількість,uk_UA
page.checkout.shipment.item.price,Ціна,uk_UA
page.checkout.shipment.shipping_address.title,"Адреса доставки",uk_UA
page.checkout.shipment.requested_delivery_date.label,"Бажана дата доставки",uk_UA
page.checkout.shipment.requested_delivery_date.placeholder,"Залиште його порожнім, якщо хочете, щоб це було якнайшвидше",uk_UA
page.checkout.shipment.requested_delivery_date.title,"Коли ви хочете отримати доставку?",uk_UA
page.checkout.payment.heading,"3. Спосіб оплати",uk_UA
page.checkout.payment.title,"Спосіб оплати",uk_UA
page.checkout.payment.edit,"Редагувати спосіб оплати",uk_UA
page.checkout.payment.next-step,"Продовжити оформлення замовлення",uk_UA
page.checkout.summary.billing,"Адреса для виставлення рахунку",uk_UA
page.checkout.summary.shipping,"Адреса доставки",uk_UA
page.checkout.summary.date_of_birth,"Дата народження",uk_UA
page.checkout.summary.card_type,"Тип картки",uk_UA
page.checkout.summary.card_number,"Номер картки",uk_UA
page.checkout.summary.name_on_card,"Ім'я на картці",uk_UA
page.checkout.summary.card_expires,"Дата закінчення терміну придатності",uk_UA
page.checkout.summary.complete_checkout,"Завершити оформлення замовлення",uk_UA
page.checkout.summary.accept_terms_and_conditions,"Я приймаю умови та умови",uk_UA
page.checkout.finalize.heading,"4. Перевірте та завершіть замовлення",uk_UA
shipment.international.parcel.service,"Міжнародні поштові послуги",uk_UA
page.checkout.terms,"Я приймаю загальні умови та положення.",uk_UA
page.checkout.finalize.enter-voucher,"Введіть код купона",uk_UA
page.checkout.finalize.tos,"З одним кліком на кнопку ""Купити зараз"" я підтверджую Загальні умови та положення.",uk_UA
page.checkout.finalize.buy-now,"Купити зараз",uk_UA
page.detail.add-to-cart,"Додати до кошика",uk_UA
page.detail.dimensions,Виміри,uk_UA
page.product.by,від,uk_UA
page.product.details,Деталі,uk_UA
