cart.remove.items.success,"Продукти було успішно видалено",uk_UA
cart.add.items.error.text,"Щось пішло не так. Вибачте.",uk_UA
cart.add.items.success,"Елементи успішно додані",uk_UA
cart.your-order,"Ваше замовлення",uk_UA
cart.product-option,"Опції продукту",uk_UA
cart.price,Ціна,uk_UA
cart.shipping.order-item,"+ Доставка",uk_UA
cart.shipping,Доставка,uk_UA
cart.total,Загалом,uk_UA
cart.checkout,"Оформлення замовлення",uk_UA
cart.empty,"Ваш кошик порожній!",uk_UA
cart.cart,Кошик,uk_UA
cart.total.discount,Знижка,uk_UA
cart.vouchers,"Подарункові сертифікати",uk_UA
cart.discounts,Знижки,uk_UA
cart.sales-order-threshold,"Мінімальна вартість замовлення",uk_UA
cart.title.available_discounts,"Доступні знижки",uk_UA
checkout.sales-order-threshold,"Мінімальна вартість замовлення",uk_UA
sales-order-threshold.expense.name,Доплата,uk_UA
sales-order-threshold.strategy.soft-minimum-threshold-fixed-fee,Доплата,uk_UA
sales-order-threshold.strategy.soft-minimum-threshold-flexible-fee,Доплата,uk_UA
cart.item_quantity,Кількість,uk_UA
cart.item_attributes_needed,"Будь ласка, виберіть більше атрибутів",uk_UA
cart.voucher.redeem,"Активувати код",uk_UA
cart.price.subtotal,"Сума замовлення",uk_UA
cart.price.grand.total,"Загальна сума",uk_UA
cart.total.tax_total,Податок,uk_UA
cart.total.tax_total.calculated_at_checkout,"обчислюється при оформленні замовлення",uk_UA
sales-order-threshold.hard-minimum-threshold.de.eur.message,"Вам потрібно додати товари на суму {{threshold}}, щоб перейти рекомендований поріг. Ви не можете продовжити оформлення замовлення.",uk_UA
sales-order-threshold.hard-minimum-threshold.de.chf.message,"Вам потрібно додати товари на суму {{threshold}}, щоб перейти рекомендований поріг. Ви не можете продовжити оформлення замовлення.",uk_UA
sales-order-threshold.hard-maximum-threshold.de.eur.message,"Значення кошика не може бути вище, ніж {{threshold}}. Будь ласка, видаліть деякі товари, щоб продовжити замовлення.",uk_UA
sales-order-threshold.hard-maximum-threshold.de.chf.message,"Значення кошика не може бути вище, ніж {{threshold}}. Будь ласка, видаліть деякі товари, щоб продовжити замовлення.",uk_UA
sales-order-threshold.soft-minimum-threshold.de.eur.message,"Вам потрібно додати товари на суму {{threshold}}, щоб перейти рекомендований поріг, але якщо ви хочете, можете перейти до оформлення замовлення.",uk_UA
sales-order-threshold.soft-minimum-threshold.de.chf.message,"Вам потрібно додати товари на суму {{threshold}}, щоб перейти рекомендований поріг, але якщо ви хочете, можете перейти до оформлення замовлення.",uk_UA
auth.login,Зареєструватися,uk_UA
auth.password,Пароль,uk_UA
auth.password-forgot,"Забули пароль?",uk_UA
auth.email,"Електронна пошта",uk_UA
auth.register,Реєстрація,uk_UA
auth.im-new-customer,"Новий клієнт",uk_UA
auth.im-already-customer,"У мене вже є обліковий запис",uk_UA
navigation.menu.categories,Категорії,uk_UA
navigation.menu.have-a-look,"Варто подивитися",uk_UA
page.checkout.errors,"Будь ласка, перевірте ваш ввід.",uk_UA
